Id,Label,Family,sourceTaxonName,targetTaxonFamilyName
431,Argopecten purpuratus,Pectinidae,1.0,
432,Arion ater,Arionidae,2.0,
433,Arion circumscriptus,Arionidae,2.0,
434,Arion hortensis,Arionidae,2.0,
435,Arion lusitanicus,Arionidae,1.0,
436,Ariopsis assimilis,Ariidae,1.0,
437,Ariopsis felis,Ariidae,1.0,
438,Arizona elegans,Colubridae,1.0,
439,Armadillidium opacum,Armadillidiidae,1.0,
440,Armadillidium versicolor,Armadillidiidae,4.0,
441,Armadillidium vulgare,Armadillidiidae,2.0,
442,Arremonops conirostris,Emberizidae,1.0,
443,Artemisia annua,Asteraceae,1.0,
444,Arthrocnemum subterminale,Amaranthaceae,2.0,
445,Artibeus fimbriatus,Phyllostomidae,1.0,
446,Artibeus jamaicensis,Phyllostomidae,1.0,
447,Artibeus lituratus,Phyllostomidae,1.0,
448,Artibeus planirostris,Phyllostomidae,2.0,
449,Arvicola amphibius,Cricetidae,4.0,
450,Ascia monuste,Pieridae,1.0,
451,Asio flammeus,Strigidae,4.0,
452,Asio otus,Strigidae,3.0,
453,Aspidites ramsayi,Boidae,1.0,
454,Aspidoscelis tigris,Teiidae,1.0,
455,Aspius aspius,Cyprinidae,4.0,
456,Astrangia poculata,Rhizangiidae,1.0,
457,Astrocaryum mexicanum,Arecaceae,2.0,
458,Astyanax fasciatus,Characidae,2.0,
459,Astyris lunata,Columbellidae,1.0,
460,Ateles belzebuth,Cebidae,1.0,
461,Ateles fusciceps,Cebidae,2.0,
462,Ateles geoffroyi,Cebidae,1.0,
463,Ateles paniscus,Cebidae,2.0,
464,Athene noctua,Strigidae,1.0,
465,Atheresthes stomias,Pleuronectidae,1.0,
466,Atherinomorus stipes,Atherinidae,1.0,
467,Atherinops affinis,Atherinopsidae,8.0,
468,Atilax paludinosus,Herpestidae,1.0,
469,Atractosteus tropicus,Lepisosteidae,1.0,
470,Attalea butyracea,Arecaceae,1.0,
471,Austrovenus stutchburyi,Veneridae,1.0,
472,Avahi laniger,Indridae,1.0,
473,Avena sativa,Poaceae,3.0,
474,Awaous guamensis,Gobiidae,1.0,
475,Axis axis,Cervidae,4.0,
476,Axis porcinus,Cervidae,1.0,
477,Aythya affinis,Anatidae,1.0,
478,Aythya americana,Anatidae,2.0,
479,Aythya collaris,Anatidae,1.0,
480,Aythya marila,Anatidae,2.0,
481,Aythya valisineria,Anatidae,2.0,
482,Baeolophus bicolor,Paridae,1.0,
483,Balaena mysticetus,Balaenidae,1.0,
484,Balaenoptera acutorostrata,Balaenopteridae,1.0,
485,Balaenoptera musculus,Balaenopteridae,1.0,
486,Ballerus ballerus,Cyprinidae,1.0,
487,Ballerus sapa,Cyprinidae,1.0,
